training,hidden_layers,layer_widths,alpha,cv_roc_auc_mean,cv_roc_auc_sd,mean_iterations
balanced,1,32,0.0001,0.616343,0.005926,91.3
balanced,1,32,0.01,0.611837,0.004189,107.0
balanced,2,32-32,0.0001,0.586507,0.008297,90.3
balanced,2,32-32,0.01,0.600326,0.01637,101.0
balanced,3,32-32-32,0.0001,0.594315,0.005129,94.0
balanced,3,32-32-32,0.01,0.588704,0.006071,114.0
balanced,2,64-64,0.0001,0.580588,0.005462,99.3
balanced,2,64-64,0.01,0.583015,0.001389,155.0
unbalanced,1,32,0.0001,0.655988,0.011907,19.3
unbalanced,1,32,0.01,0.657077,0.012689,19.7
unbalanced,2,32-32,0.0001,0.653067,0.008681,13.3
unbalanced,2,32-32,0.01,0.653807,0.008776,13.3
unbalanced,3,32-32-32,0.0001,0.653884,0.009761,21.7
unbalanced,3,32-32-32,0.01,0.658247,0.006927,16.7
unbalanced,2,64-64,0.0001,0.653912,0.004865,18.3
unbalanced,2,64-64,0.01,0.656595,0.001941,18.3
