feature,mean_decrease,sd
number_inpatient,0.044982,0.002831
discharge_disposition_id,0.042188,0.004011
medical_specialty,0.012347,0.004985
diag_1_group,0.012053,0.006366
admission_source_id,0.006703,0.002084
num_medications,0.005973,0.002283
time_in_hospital,0.005651,0.003576
A1Cresult,0.005598,0.002463
diag_2_group,0.005194,0.003353
number_emergency,0.005117,0.002065
num_procedures,0.003156,0.002594
rosiglitazone,0.003066,0.001425
admission_type_id,0.002925,0.002044
glimepiride,0.002857,0.002233
insulin,0.002619,0.002284
race,0.001888,0.001893
diabetesMed,0.001763,0.001414
max_glu_serum,0.001756,0.002287
age_midpoint,0.00174,0.001716
glyburide,0.001735,0.001653
change,0.001381,0.001893
metformin,0.001368,0.002541
diag_3_group,0.001001,0.003971
nateglinide,0.000776,0.000752
glyburide-metformin,0.00077,0.000994
