recall,precision
1.0,0.115295
0.999646,0.115485
0.997877,0.115512
0.997169,0.115662
0.996461,0.115813
0.996461,0.116047
0.995754,0.116199
0.994692,0.116311
0.992923,0.11634
0.991861,0.116452
0.991507,0.116648
0.990446,0.116761
0.989384,0.116875
0.988677,0.117031
0.988323,0.11723
0.987261,0.117345
0.9862,0.117461
0.985846,0.117662
0.984076,0.117694
0.983015,0.117812
0.980892,0.117802
0.97983,0.11792
0.979122,0.118081
0.978769,0.118286
0.978769,0.118534
0.978061,0.118698
0.977353,0.118862
0.976292,0.118984
0.975584,0.119149
0.974522,0.119272
0.973107,0.119352
0.971691,0.119433
0.970984,0.119601
0.969568,0.119682
0.969214,0.119895
0.968861,0.120109
0.968861,0.120368
0.968153,0.120539
0.967445,0.120712
0.966384,0.120841
0.964968,0.120926
0.962845,0.120923
0.962845,0.121186
0.96143,0.121273
0.95966,0.121315
0.956122,0.121133
0.954352,0.121175
0.953645,0.121353
0.952937,0.121531
0.952229,0.12171
0.951875,0.121935
0.951168,0.122115
0.950106,0.122251
0.949398,0.122433
0.947983,0.122525
0.946921,0.122662
0.945152,0.122709
0.944091,0.122847
0.943383,0.123033
0.942321,0.123173
0.94126,0.123314
0.93949,0.123362
0.938429,0.123504
0.935952,0.12346
0.935244,0.123649
0.934183,0.123793
0.932767,0.12389
0.930998,0.12394
0.929582,0.124038
0.927813,0.124089
0.927459,0.12433
0.926752,0.124525
0.924628,0.124529
0.923213,0.12463
0.923213,0.124922
0.921798,0.125024
0.920736,0.125174
0.919321,0.125277
0.918613,0.125477
0.917905,0.125678
0.915782,0.125686
0.915074,0.125888
0.91472,0.126141
0.914013,0.126345
0.913659,0.1266
0.912951,0.126806
0.910828,0.126817
0.91012,0.127025
0.908705,0.127135
0.907643,0.127295
0.907643,0.127606
0.906228,0.127718
0.903751,0.127681
0.901982,0.127744
0.901628,0.128008
0.900212,0.128122
0.899151,0.128288
0.895966,0.128151
0.894551,0.128266
0.893843,0.128484
0.893489,0.128754
0.892074,0.128872
0.890658,0.128991
0.88995,0.129213
0.888181,0.129281
0.887473,0.129505
0.886058,0.129627
0.883935,0.129645
0.882519,0.129767
0.882166,0.130047
0.880396,0.130119
0.879335,0.130296
0.877565,0.130369
0.87615,0.130494
0.874735,0.130621
0.872965,0.130695
0.871904,0.130876
0.870488,0.131004
0.869073,0.131134
0.866596,0.131103
0.865534,0.131287
0.864473,0.131471
0.863765,0.131711
0.86235,0.131844
0.861642,0.132086
0.859873,0.132166
0.857042,0.132083
0.854565,0.132054
0.852442,0.13208
0.851734,0.132325
0.850318,0.132462
0.849611,0.132711
0.847841,0.132794
0.84678,0.132989
0.844657,0.133018
0.843241,0.133158
0.842534,0.133412
0.841472,0.133611
0.838995,0.133585
0.83758,0.133729
0.836164,0.133873
0.834041,0.133905
0.833333,0.134165
0.832626,0.134426
0.830149,0.134403
0.829441,0.134666
0.828025,0.134816
0.827318,0.135082
0.825548,0.135176
0.824133,0.135328
0.822718,0.135482
0.821656,0.135694
0.818825,0.135615
0.817056,0.135712
0.816702,0.136045
0.81564,0.136262
0.81564,0.136657
0.813517,0.136699
0.81281,0.136979
0.81104,0.137081
0.809271,0.137184
0.808563,0.137468
0.806794,0.137573
0.805732,0.1378
0.804671,0.138027
0.802902,0.138135
0.80184,0.138365
0.800425,0.138535
0.798655,0.138645
0.796886,0.138755
0.796178,0.139052
0.794409,0.139164
0.79264,0.139277
0.791224,0.139454
0.789809,0.139631
0.78804,0.139746
0.786978,0.139989
0.785563,0.140169
0.785209,0.140541
0.783439,0.140661
0.782024,0.140845
0.779547,0.140839
0.77707,0.140832
0.774593,0.140826
0.773178,0.141013
0.771408,0.141137
0.769993,0.141326
0.768224,0.141452
0.766808,0.141643
0.765039,0.14177
0.763977,0.14203
0.763623,0.142423
0.76327,0.142819
0.76327,0.143284
0.761146,0.143352
0.759023,0.143421
0.757962,0.143691
0.755839,0.143761
0.753715,0.143831
0.7523,0.144038
0.750885,0.144246
0.749115,0.144387
0.747346,0.144529
0.744161,0.144397
0.742392,0.14454
0.739561,0.144477
0.737792,0.144621
0.736023,0.144766
0.734961,0.145052
0.734253,0.14541
0.733192,0.1457
0.730361,0.145639
0.729299,0.145932
0.726822,0.145943
0.726115,0.14631
0.724345,0.146465
0.721868,0.146478
0.720807,0.146779
0.719745,0.147082
0.716914,0.147025
0.714084,0.146967
0.71196,0.147055
0.711253,0.147436
0.708776,0.147453
0.708068,0.147839
0.706299,0.148005
0.704529,0.148173
0.703822,0.148566
0.703114,0.148962
0.701345,0.149135
0.698868,0.149158
0.697452,0.149409
0.695683,0.149585
0.694621,0.149916
0.693206,0.150172
0.691437,0.150354
0.689667,0.150537
0.686129,0.150333
0.684006,0.15044
0.681529,0.150469
0.679052,0.150498
0.675867,0.15037
0.673744,0.150478
0.671267,0.150508
0.66879,0.150538
0.665959,0.150488
0.664897,0.150839
0.663482,0.151112
0.661005,0.151145
0.659943,0.151503
0.658882,0.151864
0.657466,0.152145
0.655343,0.152265
0.652866,0.152303
0.650389,0.152341
0.647912,0.15238
0.644728,0.152252
0.643312,0.152542
0.642604,0.153004
0.641189,0.153299
0.63942,0.153513
0.63765,0.153728
0.636943,0.154202
0.634466,0.15425
0.631635,0.154212
0.629866,0.154433
0.626681,0.154309
0.625265,0.15462
0.624204,0.155022
0.623496,0.155516
0.622788,0.156015
0.620311,0.156072
0.619604,0.156577
0.618896,0.157086
0.616419,0.157149
0.615357,0.157575
0.613588,0.157823
0.611465,0.157981
0.609342,0.158141
0.60828,0.158579
0.605803,0.158651
0.604742,0.159095
0.602972,0.159357
0.600495,0.159433
0.598372,0.159604
0.597665,0.160156
0.595541,0.160332
0.59448,0.160796
0.591295,0.160689
0.587403,0.160386
0.584218,0.160276
0.582095,0.160456
0.580679,0.160835
0.577849,0.160823
0.575018,0.160811
0.572895,0.160998
0.571833,0.161487
0.569356,0.161579
0.567233,0.161772
0.565817,0.16217
0.563694,0.162369
0.561571,0.162569
0.559448,0.162772
0.556971,0.162873
0.553786,0.162767
0.552725,0.163287
0.552017,0.163917
0.550955,0.164449
0.550955,0.165304
0.54954,0.165742
0.546709,0.165755
0.544232,0.165876
0.541401,0.16589
0.539278,0.166122
0.537509,0.166466
0.536093,0.166924
0.534678,0.167387
0.533263,0.167855
0.531493,0.168216
0.528662,0.168243
0.526893,0.168611
0.52477,0.168868
0.523001,0.169243
0.52017,0.169277
0.518754,0.169774
0.517693,0.170394
0.51557,0.170669
0.5138,0.171065
0.51097,0.17111
0.508139,0.171156
0.507077,0.171802
0.503892,0.171732
0.502123,0.172146
0.501415,0.172931
0.500708,0.173726
0.497877,0.17379
0.495754,0.174102
0.492923,0.174169
0.492215,0.174991
0.489738,0.17519
0.486553,0.175137
0.483723,0.175211
0.480184,0.175029
0.478061,0.175363
0.47523,0.175441
0.472399,0.175519
0.470276,0.175863
0.467445,0.175946
0.465676,0.176431
0.463553,0.176788
0.462137,0.177422
0.460722,0.178063
0.458245,0.178301
0.455768,0.178542
0.453999,0.179065
0.452583,0.179736
0.45046,0.180133
0.447275,0.180108
0.445506,0.180657
0.441967,0.180491
0.437013,0.179741
0.43489,0.180152
0.433121,0.180718
0.430644,0.180993
0.429229,0.181723
0.427459,0.182312
0.426044,0.183062
0.423567,0.183364
0.419321,0.182899
0.417197,0.183359
0.415428,0.183984
0.414367,0.184934
0.411182,0.184943
0.408351,0.185114
0.404459,0.184802
0.402689,0.185463
0.399858,0.185642
0.397028,0.185823
0.394904,0.186342
0.392074,0.186532
0.390304,0.187235
0.387827,0.187607
0.38712,0.188849
0.384996,0.189415
0.382519,0.189816
0.379689,0.190046
0.377919,0.190817
0.374027,0.190519
0.37155,0.190944
0.370842,0.192294
0.368011,0.192557
0.365888,0.193199
0.363765,0.193853
0.361996,0.194709
0.361288,0.196158
0.358457,0.19647
0.355626,0.196789
0.353857,0.197707
0.35138,0.198243
0.349965,0.199395
0.347488,0.199959
0.345364,0.20074
0.343595,0.201745
0.340764,0.202141
0.338641,0.202969
0.33581,0.203386
0.33121,0.202729
0.329441,0.203809
0.328025,0.205134
0.325548,0.205817
0.324841,0.207645
0.321302,0.207685
0.318471,0.208189
0.316348,0.209172
0.313163,0.209467
0.310686,0.210249
0.308563,0.211291
0.305379,0.211623
0.302194,0.211963
0.300071,0.213065
0.29724,0.213686
0.295117,0.214838
0.29264,0.215758
0.289809,0.216438
0.286624,0.216867
0.283439,0.217309
0.281316,0.218587
0.27707,0.218227
0.274947,0.219554
0.274239,0.222063
0.269639,0.221447
0.266808,0.222288
0.262916,0.222255
0.258316,0.221615
0.255485,0.222496
0.2523,0.223091
0.248054,0.222752
0.243454,0.222079
0.240269,0.222696
0.238854,0.225
0.23673,0.226703
0.235669,0.229497
0.232484,0.230284
0.230007,0.231812
0.226469,0.232305
0.22293,0.232816
0.220453,0.234475
0.217976,0.236196
0.214791,0.237202
0.21196,0.238645
0.208068,0.238927
0.204883,0.24005
0.199929,0.239103
0.196745,0.240277
0.19356,0.241501
