seed,model,test_rows,test_positive_rate,roc_auc,average_precision
20251206,network,24511,0.115295,0.658384,0.218368
20251206,logistic,24511,0.115295,0.658164,0.219366
20251207,network,24274,0.115803,0.649854,0.207741
20251207,logistic,24274,0.115803,0.65988,0.221109
20251208,network,24391,0.116518,0.661916,0.231925
20251208,logistic,24391,0.116518,0.659958,0.225997
20251209,network,24114,0.112798,0.672661,0.225125
20251209,logistic,24114,0.112798,0.673101,0.218789
20251210,network,24257,0.112339,0.665645,0.211215
20251210,logistic,24257,0.112339,0.656819,0.208
