false_positive_rate,true_positive_rate
0.0,0.0
0.000323,0.002477
0.000922,0.008139
0.001153,0.01097
0.001476,0.013447
0.002675,0.016631
0.003182,0.019108
0.003551,0.022293
0.004012,0.02477
0.004289,0.027601
0.00475,0.029724
0.005027,0.032555
0.005857,0.034678
0.006133,0.037155
0.006548,0.039632
0.006917,0.042817
0.007378,0.044586
0.007609,0.046709
0.008255,0.048125
0.008623,0.050602
0.009223,0.052371
0.009546,0.054848
0.010099,0.058033
0.010837,0.061217
0.011483,0.063694
0.011898,0.067941
0.012497,0.070771
0.013097,0.073248
0.013742,0.075018
0.015033,0.076787
0.015633,0.078202
0.01614,0.079972
0.017247,0.081741
0.017662,0.083864
0.018492,0.086695
0.018953,0.089172
0.019599,0.090941
0.020198,0.092711
0.021305,0.09448
0.02172,0.096957
0.022089,0.099434
0.022965,0.101203
0.023934,0.102619
0.024718,0.104742
0.02587,0.106511
0.026562,0.10828
0.027254,0.11005
0.027992,0.112173
0.028545,0.114296
0.029098,0.116419
0.030205,0.117834
0.031312,0.119604
0.031911,0.121727
0.032695,0.123496
0.033664,0.125265
0.033941,0.127389
0.034402,0.129158
0.034771,0.131635
0.035462,0.133404
0.036385,0.136235
0.037169,0.138712
0.037676,0.140481
0.038368,0.143312
0.039198,0.145435
0.04012,0.147205
0.040858,0.149682
0.042241,0.151451
0.043302,0.15322
0.044224,0.154636
0.044916,0.156759
0.047083,0.158174
0.048144,0.160651
0.049066,0.163128
0.050219,0.164897
0.050865,0.166313
0.052617,0.168436
0.053217,0.170205
0.053539,0.172328
0.054508,0.174098
0.055799,0.176929
0.057182,0.178344
0.057828,0.180467
0.058796,0.182236
0.059488,0.184006
0.061102,0.185421
0.061702,0.187544
0.063177,0.189314
0.06433,0.191437
0.064791,0.193206
0.066221,0.194975
0.067097,0.196745
0.067697,0.198868
0.068527,0.200991
0.069264,0.20276
0.070279,0.204176
0.071063,0.205945
0.072354,0.20736
0.074383,0.20913
0.075029,0.211253
0.075813,0.213022
0.077242,0.214791
0.078395,0.216561
0.079825,0.219038
0.081024,0.221161
0.081992,0.22293
0.082407,0.225053
0.083791,0.226469
0.084482,0.228592
0.08499,0.230361
0.085635,0.23213
0.087111,0.234253
0.088587,0.236023
0.089371,0.237438
0.08997,0.239915
0.0914,0.241331
0.092091,0.243454
0.09412,0.244869
0.094997,0.246992
0.095919,0.248762
0.097072,0.250531
0.098593,0.2523
0.099239,0.254423
0.101683,0.255839
0.102052,0.258316
0.103436,0.260085
0.105741,0.262208
0.106617,0.263977
0.107171,0.2661
0.108462,0.26787
0.109846,0.270347
0.112197,0.271762
0.113396,0.273531
0.115195,0.274947
0.116855,0.27707
0.117869,0.278485
0.118238,0.280962
0.119437,0.282378
0.121328,0.284147
0.122435,0.285563
0.123542,0.287332
0.125156,0.289455
0.125709,0.291578
0.127139,0.292994
0.12843,0.295117
0.129583,0.296532
0.131289,0.298655
0.132857,0.300071
0.133917,0.302194
0.135116,0.303609
0.135531,0.306086
0.136362,0.307502
0.137099,0.309625
0.137976,0.31104
0.139451,0.313163
0.141296,0.314933
0.143048,0.318117
0.143417,0.319887
0.144293,0.322718
0.145631,0.324133
0.14683,0.325902
0.148905,0.327672
0.149596,0.330149
0.150473,0.331564
0.151994,0.333333
0.153516,0.334749
0.154392,0.336872
0.156375,0.338641
0.157759,0.340764
0.158635,0.34218
0.160018,0.345364
0.161632,0.34678
0.162555,0.348549
0.164123,0.349965
0.165091,0.351734
0.166059,0.353149
0.16689,0.354919
0.167535,0.356334
0.168596,0.358103
0.169979,0.359873
0.171962,0.361996
0.173392,0.363411
0.174545,0.36518
0.175882,0.367304
0.176528,0.369073
0.177358,0.370488
0.179387,0.372611
0.18077,0.374381
0.181785,0.377212
0.182984,0.378627
0.183906,0.38075
0.186765,0.382519
0.190085,0.384289
0.190961,0.385704
0.19216,0.388889
0.194143,0.390658
0.19525,0.393135
0.196634,0.394551
0.197556,0.397028
0.198663,0.399151
0.199447,0.40092
0.200738,0.402335
0.201291,0.404459
0.202444,0.405874
0.203735,0.407643
0.204658,0.409059
0.205303,0.41189
0.207194,0.413305
0.207471,0.416136
0.209869,0.417551
0.21056,0.420028
0.21199,0.421444
0.213189,0.423567
0.215495,0.425336
0.216694,0.427459
0.218215,0.428875
0.220383,0.431706
0.221628,0.433475
0.223288,0.435244
0.225225,0.437013
0.226793,0.438783
0.227899,0.440198
0.229467,0.441967
0.23122,0.443737
0.23205,0.446568
0.232742,0.447983
0.23371,0.449752
0.236754,0.451522
0.23763,0.453645
0.238644,0.455414
0.240028,0.457183
0.241365,0.458953
0.245654,0.460722
0.247129,0.462137
0.247775,0.465322
0.249573,0.466737
0.251556,0.468861
0.252064,0.470276
0.253217,0.472753
0.253954,0.474168
0.255983,0.475938
0.257505,0.477353
0.258704,0.479122
0.260641,0.480538
0.261702,0.482307
0.26327,0.484076
0.26516,0.486553
0.269403,0.487969
0.270279,0.489738
0.273276,0.491507
0.275259,0.493984
0.27692,0.4954
0.277842,0.497169
0.279963,0.498585
0.280932,0.500354
0.282269,0.501769
0.28356,0.503539
0.284851,0.504954
0.286604,0.507077
0.289048,0.509554
0.290385,0.512031
0.292184,0.513447
0.293429,0.515216
0.29578,0.516985
0.298317,0.519462
0.299562,0.521231
0.300392,0.523708
0.301914,0.525124
0.30611,0.526893
0.307309,0.528309
0.307909,0.530432
0.310445,0.531847
0.311413,0.534324
0.31335,0.53574
0.314503,0.537509
0.316394,0.539632
0.317869,0.541401
0.318976,0.543171
0.322988,0.54494
0.324694,0.546709
0.326677,0.548832
0.329583,0.550248
0.331658,0.552017
0.332672,0.553432
0.335762,0.556263
0.337468,0.558033
0.340097,0.559802
0.341711,0.561571
0.344155,0.564048
0.346184,0.565817
0.347475,0.568294
0.349596,0.56971
0.351672,0.571479
0.354761,0.573248
0.355591,0.575018
0.357713,0.576433
0.360018,0.578202
0.361494,0.579618
