method,k,clusters,unassigned,assigned_fraction,smallest_cluster,calinski_harabasz,silhouette,davies_bouldin,adjusted_rand,adjusted_mutual_information,homogeneity,completeness
k-means,2,2,0,1.0,24,113.387525,0.646788,1.476045,0.558493,0.499181,0.355452,0.86617
agglomerative,2,2,0,1.0,1,42.750105,0.815972,0.126242,0.029402,0.022276,0.013165,0.435631
k-means,3,3,0,1.0,21,108.183625,0.177589,1.732076,0.107652,0.202247,0.308917,0.158281
agglomerative,3,3,0,1.0,1,43.136729,0.80378,0.129744,0.058116,0.043745,0.026501,0.438517
k-means,4,4,0,1.0,4,103.281556,0.181436,1.549854,0.136662,0.238835,0.378082,0.18359
agglomerative,4,4,0,1.0,1,66.892407,0.649612,0.707925,0.379199,0.299073,0.203335,0.643975
k-means,5,5,0,1.0,3,100.515426,0.187892,1.294,0.090658,0.169073,0.269001,0.134783
agglomerative,5,5,0,1.0,1,64.320801,0.64386,0.57066,0.378828,0.291569,0.206021,0.584353
k-means,6,6,0,1.0,3,97.487629,0.1377,1.458597,0.053189,0.140559,0.293491,0.102516
agglomerative,6,6,0,1.0,1,67.702603,0.295773,0.905819,0.338329,0.265665,0.277034,0.283513
