eps,min_samples,clusters,unassigned,assigned_fraction,smallest_cluster,calinski_harabasz,silhouette,davies_bouldin,adjusted_rand,adjusted_mutual_information,homogeneity,completeness
3.6,3,4,11,0.9811,3,45.531235,0.595521,0.581469,0.424869,0.295775,0.225439,0.496276
3.7,3,4,11,0.9811,3,45.531235,0.595521,0.581469,0.424869,0.295775,0.225439,0.496276
3.8,3,4,11,0.9811,3,45.531235,0.595521,0.581469,0.424869,0.295775,0.225439,0.496276
3.9,3,4,11,0.9811,3,45.531235,0.595521,0.581469,0.424869,0.295775,0.225439,0.496276
4.0,3,4,10,0.982818,3,45.07933,0.594379,0.581649,0.432652,0.310434,0.233213,0.532539
3.4,3,2,19,0.967354,3,39.26084,0.649698,0.455119,0.464288,0.344476,0.250903,0.597189
3.5,3,2,17,0.97079,3,38.355275,0.646366,0.457467,0.424854,0.302287,0.216967,0.55361
3.3,3,3,19,0.967354,3,29.718562,0.480122,0.803571,0.538907,0.428528,0.332687,0.642757
2.9,3,3,23,0.960481,3,27.888843,0.466148,0.69967,0.589081,0.464851,0.367288,0.667134
3.0,3,3,23,0.960481,3,27.888843,0.466148,0.69967,0.589081,0.464851,0.367288,0.667134
3.1,3,3,21,0.963918,3,27.604034,0.463827,0.700968,0.555503,0.433079,0.337271,0.643561
3.2,3,3,21,0.963918,3,27.604034,0.463827,0.700968,0.555503,0.433079,0.337271,0.643561
2.3,4,2,47,0.919244,5,27.280168,0.47791,0.711408,0.598798,0.40131,0.36509,0.464286
2.3,5,2,47,0.919244,5,27.280168,0.47791,0.711408,0.598798,0.40131,0.36509,0.464286
2.3,6,2,47,0.919244,5,27.280168,0.47791,0.711408,0.598798,0.40131,0.36509,0.464286
0.8,6,2,559,0.039519,6,26.449499,0.482214,0.708917,-0.054035,-0.001399,0.009751,0.021596
0.6,3,2,574,0.013746,3,22.640497,0.626411,0.472955,-0.022873,-0.006223,0.003345,0.017151
0.7,3,5,561,0.036082,3,19.077391,0.415817,0.805691,-0.05133,-0.012416,0.008887,0.017527
0.8,5,3,547,0.060137,5,18.711843,0.328013,0.999715,-0.07225,-0.001062,0.015008,0.02217
0.9,6,5,487,0.16323,5,16.380114,0.112991,1.362967,-0.112402,0.014232,0.043266,0.029038
