grouping,group,assay,n,mean,sd,q1,median,q3
cluster,0,ALB,24,32.25,5.2771,29.0,32.5,36.0
cluster,0,ALP,24,98.625,78.5162,62.325,85.8,106.6
cluster,0,ALT,24,9.1167,8.8185,3.65,5.15,12.875
cluster,0,AST,24,123.3125,90.5649,62.45,97.2,152.85
cluster,0,BIL,24,62.625,62.1994,19.75,40.0,73.0
cluster,0,CHE,24,3.3912,1.917,1.7825,2.485,5.4275
cluster,0,CHOL,24,3.98,1.0906,3.5325,3.765,4.5875
cluster,0,CREA,24,156.4792,231.2549,62.925,74.1,109.35
cluster,0,GGT,24,164.3833,173.7633,51.9,97.4,181.675
cluster,0,PROT,24,68.2125,7.4224,62.675,68.85,72.2
cluster,1,ALB,558,42.2435,4.9795,39.3,42.1,45.3
cluster,1,ALP,558,66.3197,19.0275,52.5,65.4,78.175
cluster,1,ALT,558,26.3787,14.7209,16.9,23.0,32.275
cluster,1,AST,558,29.4547,19.7357,21.3,25.3,30.8
cluster,1,BIL,558,8.878,6.3363,5.2,7.0,10.475
cluster,1,CHE,558,8.4197,1.906,7.1,8.38,9.6375
cluster,1,CHOL,558,5.4638,1.0754,4.68,5.37,6.1375
cluster,1,CREA,558,78.7018,14.8286,68.0,77.0,88.0
cluster,1,GGT,558,31.3496,27.9088,15.2,22.0,34.85
cluster,1,PROT,558,72.2738,4.654,69.6,72.25,75.275
category,other,ALB,558,42.2561,4.9704,39.3,42.15,45.3
category,other,ALP,558,66.5522,19.1245,52.75,65.55,78.5
category,other,ALT,558,26.4211,14.6869,16.9,23.0,32.275
category,other,AST,558,29.8253,22.827,21.3,25.3,30.875
category,other,BIL,558,8.9694,6.7801,5.2,7.0,10.5
category,other,CHE,558,8.4181,1.908,7.1,8.38,9.6375
category,other,CHOL,558,5.4665,1.0763,4.68,5.37,6.14
category,other,CREA,558,78.757,14.721,68.0,77.0,88.75
category,other,GGT,558,32.588,36.982,15.2,22.0,34.85
category,other,PROT,558,72.2373,4.6329,69.525,72.2,75.2
category,cirrhosis,ALB,24,31.9583,4.8855,29.0,32.5,35.25
category,cirrhosis,ALP,24,93.2208,80.0483,48.875,80.05,103.575
category,cirrhosis,ALT,24,8.1292,8.0821,3.35,4.95,9.05
category,cirrhosis,AST,24,114.6958,81.3794,59.075,97.2,144.9
category,cirrhosis,BIL,24,60.5,62.9382,19.75,38.5,66.25
category,cirrhosis,CHE,24,3.4283,1.9698,1.7825,2.485,5.4275
category,cirrhosis,CHOL,24,3.9183,0.9736,3.585,3.8,4.2025
category,cirrhosis,CREA,24,155.1958,231.867,62.15,72.0,109.35
category,cirrhosis,GGT,24,135.5917,151.7452,48.975,79.65,143.45
category,cirrhosis,PROT,24,69.0625,8.1393,62.675,69.5,73.75
