feature,edge_0,edge_1,edge_2,edge_3
mean radius,6.981,12.895826,17.297098,28.11
mean texture,9.71,17.761656,23.384214,39.28
mean perimeter,43.79,84.659387,115.203946,188.5
mean area,143.5,775.522487,1436.765786,2501.0
mean smoothness,0.05263,0.091549,0.109276,0.1634
mean compactness,0.01938,0.096099,0.172368,0.3454
mean concavity,0.0,0.084662,0.19868,0.4268
mean concave points,0.0,0.049368,0.107012,0.2012
mean symmetry,0.106,0.17495,0.213713,0.304
mean fractal dimension,0.04996,0.061486,0.071375,0.09744
radius error,0.1115,0.558389,1.763045,2.873
texture error,0.3602,1.160912,2.027944,4.885
perimeter error,0.757,4.011225,13.095275,21.98
area error,6.802,64.764893,319.116042,542.2
smoothness error,0.001713,0.007052,0.012167,0.03113
compactness error,0.002252,0.025451,0.055255,0.1354
concavity error,0.0,0.041216,0.206095,0.396
concave points error,0.0,0.010967,0.020779,0.05279
symmetry error,0.007882,0.021928,0.038202,0.07895
fractal dimension error,0.000895,0.005129,0.015229,0.02984
worst radius,7.93,15.208977,21.31219,36.04
worst texture,12.02,23.080681,30.53313,49.54
worst perimeter,50.41,101.108305,143.718232,251.2
worst area,185.2,1063.063179,2119.772938,4254.0
worst smoothness,0.07117,0.124515,0.155881,0.2226
worst compactness,0.02729,0.259048,0.508572,1.058
worst concavity,0.0,0.233196,0.513146,1.252
worst concave points,0.0,0.093539,0.169623,0.291
worst symmetry,0.1565,0.281164,0.384779,0.6638
worst fractal dimension,0.05504,0.083899,0.111815,0.2075
