seed,r2,rmse,test_rows
20251206,0.215867,3.099111,86
20251207,0.252063,3.405892,86
20251208,0.192754,3.055709,86
20251209,0.160852,3.187134,86
20251210,-0.156678,3.675099,86
20251211,0.123761,3.172205,86
20251212,0.109358,2.794827,86
20251213,0.253491,2.719295,86
20251214,0.232805,2.901791,86
20251215,0.081735,3.159642,86
20251216,0.129978,3.529199,86
20251217,0.036049,3.01819,86
20251218,0.148985,2.835454,86
20251219,0.156532,2.494469,86
20251220,0.0333,2.728362,86
20251221,0.104125,3.506755,86
20251222,0.247402,2.705159,86
20251223,0.184099,3.178944,86
20251224,0.174212,2.662912,86
20251225,0.039677,2.65724,86
