key,value
m01.alternate.iterations,103
m01.alternate.test_accuracy,0.438456
m01.alternate.test_average_precision,0.156801
m01.alternate.test_balanced_accuracy,0.562311
m01.alternate.test_brier,0.233752
m01.alternate.test_f1,0.228994
m01.alternate.test_false_negative,782
m01.alternate.test_false_positive,12982
m01.alternate.test_majority_class_rate,0.884705
m01.alternate.test_positive_rate,0.115295
m01.alternate.test_precision,0.136031
m01.alternate.test_recall,0.723284
m01.alternate.test_roc_auc,0.595245
m01.alternate.test_rows,24511
m01.alternate.test_threshold,0.12473
m01.alternate.test_true_negative,8703
m01.alternate.test_true_positive,2044
m01.alternate.training,balanced
m01.balanced_train_rows,128594
m01.best_alpha,0.01
m01.best_cv_roc_auc,0.658247
m01.best_cv_roc_auc_balanced,0.616343
m01.best_cv_roc_auc_sd,0.006927
m01.best_cv_roc_auc_unbalanced,0.658247
m01.best_hidden_layers,3
m01.best_layer_widths,32-32-32
m01.best_layer_widths_balanced,32
m01.best_layer_widths_unbalanced,32-32-32
m01.best_training,unbalanced
m01.distinct_values_citoglipton,1
m01.distinct_values_examide,1
m01.encounters_released,101766
m01.features_categorical,34
m01.features_numeric,9
m01.importance_rows,24511
m01.leaked.counterpart,alternate
m01.leaked.patients_on_both_sides,12057
m01.leaked.rows_on_both_sides,125252
m01.leaked.test_accuracy,0.736852
m01.leaked.test_average_precision,0.761066
m01.leaked.test_balanced_accuracy,0.73664
m01.leaked.test_brier,0.177443
m01.leaked.test_f1,0.759416
m01.leaked.test_false_negative,3690
m01.leaked.test_false_positive,7623
m01.leaked.test_majority_class_rate,0.501151
m01.leaked.test_positive_rate,0.501151
m01.leaked.test_precision,0.700801
m01.leaked.test_recall,0.828731
m01.leaked.test_roc_auc,0.805713
m01.leaked.test_rows,42991
m01.leaked.test_threshold,0.5
m01.leaked.test_true_negative,13823
m01.leaked.test_true_positive,17855
m01.logistic.test_accuracy,0.712537
m01.logistic.test_average_precision,0.219366
m01.logistic.test_balanced_accuracy,0.605654
m01.logistic.test_brier,0.0978022
m01.logistic.test_f1,0.272408
m01.logistic.test_false_negative,1507
m01.logistic.test_false_positive,5539
m01.logistic.test_majority_class_rate,0.884705
m01.logistic.test_positive_rate,0.115295
m01.logistic.test_precision,0.19233
m01.logistic.test_recall,0.466737
m01.logistic.test_roc_auc,0.658164
m01.logistic.test_rows,24511
m01.logistic.test_threshold,0.12473
m01.logistic.test_true_negative,16146
m01.logistic.test_true_positive,1319
m01.logistic.training,unbalanced
m01.max_univariate_auc,0.606686
m01.max_univariate_auc_feature,number_inpatient
m01.missing_fraction_payer_code,0.3966
m01.missing_fraction_weight,0.9685
m01.network.iterations,14
m01.network.test_accuracy,0.646771
m01.network.test_average_precision,0.218368
m01.network.test_balanced_accuracy,0.610184
m01.network.test_brier,0.0978341
m01.network.test_f1,0.268626
m01.network.test_false_negative,1236
m01.network.test_false_positive,7422
m01.network.test_majority_class_rate,0.884705
m01.network.test_positive_rate,0.115295
m01.network.test_precision,0.176431
m01.network.test_recall,0.562633
m01.network.test_roc_auc,0.658384
m01.network.test_rows,24511
m01.network.test_threshold,0.12473
m01.network.test_true_negative,14263
m01.network.test_true_positive,1590
m01.network.training,unbalanced
m01.patients_analyzed,68166
m01.patients_released,71518
m01.positive_rate,0.114573
m01.repeats.count,5
m01.repeats.logistic.average_precision_max,0.225997
m01.repeats.logistic.average_precision_mean,0.218652
m01.repeats.logistic.average_precision_min,0.208
m01.repeats.logistic.average_precision_sd,0.00659507
m01.repeats.logistic.roc_auc_max,0.673101
m01.repeats.logistic.roc_auc_mean,0.661584
m01.repeats.logistic.roc_auc_min,0.656819
m01.repeats.logistic.roc_auc_sd,0.00656868
m01.repeats.network.average_precision_max,0.231925
m01.repeats.network.average_precision_mean,0.218875
m01.repeats.network.average_precision_min,0.207741
m01.repeats.network.average_precision_sd,0.00990282
m01.repeats.network.roc_auc_at_primary_seed,0.658384
m01.repeats.network.roc_auc_max,0.672661
m01.repeats.network.roc_auc_mean,0.661692
m01.repeats.network.roc_auc_min,0.649854
m01.repeats.network.roc_auc_sd,0.00847167
m01.repeats.network_minus_logistic_roc_auc_mean,0.0001076
m01.repeats.network_wins,3
m01.rows_analyzed,97108
m01.rows_incomplete,2235
m01.rows_released,101766
m01.rows_unobservable_outcome,2423
m01.specialty_levels_kept,16
m01.specialty_levels_released,72
m01.specialty_not_recorded_fraction,0.4894
m01.split.groups_on_both_sides,0
m01.split.rows_on_both_sides,0
m01.split.test_fraction,0.2524
m01.split.test_groups,17042
m01.split.test_positive_rate,0.115295
m01.split.test_rows,24511
m01.split.train_groups,51124
m01.split.train_positive_rate,0.11433
m01.split.train_rows,72597
m01.threshold_source,"training out-of-fold scores, unbalanced regime"
m02.agglomerative.adjusted_mutual_information,0.193593
m02.agglomerative.adjusted_rand,0.249161
m02.agglomerative.assigned_fraction,1
m02.agglomerative.calinski_harabasz,63.824
m02.agglomerative.clusters,4
m02.agglomerative.completeness,0.553963
m02.agglomerative.davies_bouldin,0.702578
m02.agglomerative.homogeneity,0.125288
m02.agglomerative.silhouette,0.663857
m02.agglomerative.smallest_cluster,1
m02.agglomerative.unassigned,0
m02.analyzed_blood_donor,533
m02.analyzed_cirrhosis,30
m02.analyzed_fibrosis,21
m02.analyzed_hepatitis,24
m02.categories_analyzed,4
m02.cells_imputed,31
m02.cells_imputed_ALB,1
m02.cells_imputed_ALP,18
m02.cells_imputed_ALT,1
m02.cells_imputed_CHOL,10
m02.cells_imputed_PROT,1
m02.cells_total,6080
m02.complete_case.kmeans.adjusted_rand,0.136662
m02.complete_case.kmeans_k2_vs_cirrhosis.adjusted_rand,0.906254
m02.complete_case.rows,582
m02.dbscan.adjusted_mutual_information,0.204557
m02.dbscan.adjusted_rand,0.31034
m02.dbscan.assigned_fraction,0.980263
m02.dbscan.calinski_harabasz,45.4519
m02.dbscan.clusters,3
m02.dbscan.completeness,0.455767
m02.dbscan.configurations_searched,45
m02.dbscan.davies_bouldin,0.431422
m02.dbscan.eps,4
m02.dbscan.homogeneity,0.142778
m02.dbscan.min_samples,3
m02.dbscan.silhouette,0.639167
m02.dbscan.smallest_cluster,3
m02.dbscan.unassigned,12
m02.imputed_blood_donor,7
m02.imputed_cirrhosis,6
m02.imputed_fibrosis,9
m02.imputed_hepatitis,4
m02.kmeans.adjusted_mutual_information,0.196556
m02.kmeans.adjusted_rand,0.13194
m02.kmeans.assigned_fraction,1
m02.kmeans.calinski_harabasz,102.538
m02.kmeans.clusters,4
m02.kmeans.completeness,0.162115
m02.kmeans.davies_bouldin,1.50869
m02.kmeans.homogeneity,0.277015
m02.kmeans.silhouette,0.165097
m02.kmeans.smallest_cluster,3
m02.kmeans.unassigned,0
m02.kmeans_k2.assigned_fraction,1
m02.kmeans_k2.calinski_harabasz,114.7
m02.kmeans_k2.clusters,2
m02.kmeans_k2.davies_bouldin,1.48174
m02.kmeans_k2.silhouette,0.645731
m02.kmeans_k2.smallest_cluster,25
m02.kmeans_k2.unassigned,0
m02.kmeans_k2_vs_cirrhosis.adjusted_mutual_information,0.66528
m02.kmeans_k2_vs_cirrhosis.adjusted_rand,0.815224
m02.kmeans_k2_vs_cirrhosis.completeness,0.715833
m02.kmeans_k2_vs_cirrhosis.homogeneity,0.624463
m02.kmeans_scaled.adjusted_mutual_information,0.196556
m02.kmeans_scaled.adjusted_rand,0.13194
m02.kmeans_scaled.assigned_fraction,1
m02.kmeans_scaled.calinski_harabasz,102.538
m02.kmeans_scaled.clusters,4
m02.kmeans_scaled.completeness,0.162115
m02.kmeans_scaled.davies_bouldin,1.50869
m02.kmeans_scaled.homogeneity,0.277015
m02.kmeans_scaled.silhouette,0.165097
m02.kmeans_scaled.smallest_cluster,3
